no,elapsed_ms,waktu,sample_id,batch_id,label,mq135_ratio,mq3_ratio,mq4_ratio,tgs_ratio,suhu,lembap
97,48129,23.37.51,1,NASI-1,LAYAK,1.0498,1.0279,1.0594,1.0744,31.4,100.0
98,48743,23.37.52,1,NASI-1,LAYAK,1.0557,1.0286,1.0565,1.0784,31.4,100.0
99,49152,23.37.52,1,NASI-1,LAYAK,1.0738,1.0279,1.0565,1.0776,31.4,100.0
100,49767,23.37.53,1,NASI-1,LAYAK,1.0506,1.0286,1.0558,1.076,31.4,100.0
101,50177,23.37.53,1,NASI-1,LAYAK,1.0472,1.0249,1.0544,1.0776,31.4,100.0
102,50791,23.37.54,1,NASI-1,LAYAK,1.0414,1.022,1.0587,1.0776,31.4,100.0
103,51202,23.37.54,1,NASI-1,LAYAK,1.043,1.0242,1.0651,1.0916,31.4,100.0
104,51815,23.37.55,1,NASI-1,LAYAK,1.0232,1.001,1.0537,1.0792,31.4,100.0
105,52225,23.37.55,1,NASI-1,LAYAK,1.0322,1.0118,1.0636,1.0899,31.3,100.0
106,52641,23.37.56,1,NASI-1,LAYAK,1.0159,0.9946,1.0523,1.076,31.3,100.0
107,53249,23.37.56,1,NASI-1,LAYAK,1.0071,0.9918,1.0488,1.0752,31.3,100.0
108,53660,23.37.57,1,NASI-1,LAYAK,1.0008,0.9834,1.0446,1.0695,31.3,100.0
109,54274,23.37.57,1,NASI-1,LAYAK,1.004,0.9806,1.0474,1.0727,31.3,100.0
110,54683,23.37.58,1,NASI-1,LAYAK,1.0111,0.9932,1.0587,1.0882,31.3,100.0
111,55299,23.37.58,1,NASI-1,LAYAK,0.9992,0.9793,1.046,1.0703,31.3,100.0
112,55706,23.37.59,1,NASI-1,LAYAK,1.0103,0.9932,1.0629,1.0924,31.3,100.0
113,56117,23.37.59,1,NASI-1,LAYAK,1.0024,0.9779,1.0509,1.0735,31.3,100.0
114,56731,23.38.00,1,NASI-1,LAYAK,1.0016,0.9779,1.0481,1.0735,31.3,100.0
115,57141,23.38.00,1,NASI-1,LAYAK,1.0135,0.9869,1.0594,1.0825,31.3,100.0
116,57754,23.38.01,1,NASI-1,LAYAK,0.9953,0.9883,1.0601,1.0825,31.3,100.0
117,58164,23.38.01,1,NASI-1,LAYAK,1.0087,0.9862,1.0587,1.0833,31.3,100.0
118,58779,23.38.02,1,NASI-1,LAYAK,1.0079,0.9848,1.0587,1.085,31.3,100.0
119,59190,23.38.02,1,NASI-1,LAYAK,1.0103,0.9827,1.0551,1.076,31.3,100.0
120,59803,23.38.03,1,NASI-1,LAYAK,1.0032,0.9848,1.0572,1.0809,31.3,100.0
